launch_date,return_date,launch_date_clean,return_date_clean,launch_date2,return_date2,neg,launch_date_rev,return_date_rev
13-Dec-18,13-Dec-18,13-Dec-18,13-Dec-18,NA,NA,NA,NA,NA
13-Dec-18,13-Dec-18,13-Dec-18,13-Dec-18,NA,NA,NA,NA,NA
"15 October 2003, 01:00:03 UTC","	15 October 2003, 22:22:48 UTC","15 October 2003, 01:00:03","15 October 2003, 22:22:48",1066179603,1066256568,FALSE,2003-10-15T01:00:03Z,2003-10-15T22:22:48Z
"	2 September 2015
04:37:42 UTC","	2 March 2016
04:25:27 UTC",2 September 2015 04:37:42,2 March 2016 04:25:27,1441168662,1456892727,FALSE,2015-09-02T04:37:42Z,2016-03-02T04:25:27Z
"15 September 1976,
09:48:30 UTC","	23 September 1976,
07:40:47 UTC","15 September 1976, 09:48:30","23 September 1976, 07:40:47",211628910,212312447,FALSE,1976-09-15T09:48:30Z,1976-09-23T07:40:47Z
"18 December 1973,
11:55:00 UTC","	26 December 1973,
08:50:35 UTC","18 December 1973, 11:55:00","26 December 1973, 08:50:35",125063700,125743835,FALSE,1973-12-18T11:55:00Z,1973-12-26T08:50:35Z
"18 December 1973,
11:55:00 UTC","	26 December 1973,
08:50:35 UTC","18 December 1973, 11:55:00","26 December 1973, 08:50:35",125063700,125743835,FALSE,1973-12-18T11:55:00Z,1973-12-26T08:50:35Z
"15 June 1978, 20:16:45 UTC","	3 September 1978, 11:40:34 UTC","15 June 1978, 20:16:45","3 September 1978, 11:40:34",266789805,273670834,FALSE,1978-06-15T20:16:45Z,1978-09-03T11:40:34Z
"March 18, 2016 21:26:38 UTC","	September 7, 2016
01:13 UTC","March 18, 2016 21:26:38","September 7, 2016 01:13",1458336398,1473210780,FALSE,2016-03-18T21:26:38Z,2016-09-07T01:13:00Z
"March 18, 2016 21:26:38 UTC","	September 7, 2016
01:13 UTC","March 18, 2016 21:26:38","September 7, 2016 01:13",1458336398,1473210780,FALSE,2016-03-18T21:26:38Z,2016-09-07T01:13:00Z
"January 12, 1997, 09:27:23 UTC"," May 1997, 13:27:44 UTC","January 12, 1997, 09:27:23"," May 1997, 13:27:44",853061243,864048464,FALSE,1997-01-12T09:27:23Z,1997-05-19T13:27:44Z
"15 May 1997, 09:07:48.62 UTC"," May 1997, 13:27:44 UTC","15 May 1997, 09:07:48.62"," May 1997, 13:27:44",863687268.62,864048464,FALSE,1997-05-15T09:07:48Z,1997-05-19T13:27:44Z
"15 May 1997, 09:07:48.62 UTC"," May 1997, 13:27:44 UTC","15 May 1997, 09:07:48.62"," May 1997, 13:27:44",863687268.62,864048464,FALSE,1997-05-15T09:07:48Z,1997-05-19T13:27:44Z
"15 May 1997, 09:07:48.62 UTC"," May 1997, 13:27:44 UTC","15 May 1997, 09:07:48.62"," May 1997, 13:27:44",863687268.62,864048464,FALSE,1997-05-15T09:07:48Z,1997-05-19T13:27:44Z
